 ,Players with the Highest 
Combined World Record Scores,,,,Players With the Most Records ,,,,Tanks with the Highest
 Combined Record Scores,,,,Players with the Highest World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on HAS+LAS,,,,Most Common Tanks on the HAS,,,,Players with the Highest 
Combined Event Record Scores,,,,Players With the Most Event Records ,,,,Tanks with the Highest
 Combined Event Record Scores,,,,Players with the Highest Event World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on EAS,,,,Players with the Highest 
Combined Incog Record Scores,,,,Players With the Most Incog Records ,,,,Tanks with the Highest
 Combined Incog Record Scores,,,,Players with the Highest Incog World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on IAS,,,,Players with the most times on Time Trials ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Tank,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,# of times

,34,Thx m8,30328345,,33,Marcus,9,,34,Falcon,38796120,,34,8 (5 WR),3292908.8,,34,Tommy,50,,32,Commander,46,,34,lotion,5023131,,27,Quad,4,,34,Overtrapper,8927947,,,,,,31,ExC,2,,34,Reckless,2707272,,31,Clare,1,,34,Tri-Angle,6854552,,,,,,21,byekc,1,,,,
,35,pedal,29778752,,33,CX has cute feet,9,,35,Bulwark,38556169,,35,cute sus (5 WR),3272953.8,,35,☠ʟᴀɢ мᴀsтᴇʀ☠,49,,35,Auto Cruiser,45,,35,Armin Play YT,5014570,,27,Die?,4,,35,Gunner,8924121,,,,,,31,Phoenix,2,,35,ThunderFlame,2704981,,31,AstRatJP,1,,35,Battleship,6304205,,,,,,21,cute sus,1,,,,
,36,Silk,29156952,,33,Roman,9,,36,Single,38392015,,36,<❂> ₭ǿrɇa (15 WR),3267230.533333333,,36,bum,48,,36,Crop Duster,43,,36,Road,4745627,,36,Ditine,3,,36,Machine Gun,8904531,,,,,,31,Quad,2,,36,fe,2644649,,31,incog darky,1,,36,Big Cheese,6084556,,,,,,21,evil isopod,1,,,,
,37,ThunderFlame,28932609,,33,Mr.Hacker YT,9,,37,Boomer,38311306,,37,Chaos (14 WR),3221721,,37,Rog456,47,,36,Mega Smasher,43,,37,LeVitate,4537224,,36,a letter a,3,,37,Auto Builder,8772564,,,,,,31,Road,2,,37,truper,2438812,,31,ThunderFlame,1,,37,Smasher,6012396,,,,,,21,geometrically dominated,1,,,,
,38,🥕Crazy Carrot🥕,28097060,,33,Stardust,9,,38,Trap Guard,38118100,,38,Corrupt X (15 WR),3204991.1333333333,,37,byekc,47,,38,Bent Hybrid,42,,38,Die?,4521671,,36,e,3,,38, Big Cheese,8625355,,,,,,31,Sei,2,,38,Awootube,2398134,,31,DevinSucksAtLife,1,,38,Hybrid,5752142,,,,,,21,incog darky,1,,,,
,39,Mr.Chemistry,27686540,,39,Thx m8,8,,39,Auto Gunner,37587976,,39,Askatasuna (14 WR),3197912.0714285714,,39,Athu,44,,38,Spreadshot,42,,39,e,4438269,,36,From Asia,3,,39,Sprayer,8474443,,,,,,31,Silk,2,,39,HiYouHavePolio,2359843,,31,xeno,1,,39,Swarmer,5575862,,,,,,21,jax,1,,,,
,40,🎋,26469885,,39,hi,8,,40,Bushwhacker,37394818,,40,ascending (7 WR),3192631.714285714,,40,Silvius,43,,40,Battleship,41,,40,Otobus,4392662,,36,NadeWhyTea,3,,40,Double Twin,8362060,,,,,,31,Silvite,2,,40,jax,2355433,,31,Nite,1,,40,Surfer,5483252,,,,,,21,lTorenn,1,,,,
,41,🌷|retnuH,26167122,,39,[MG] Spin2Team,8,,41,Beekeeper,36624085,,41,Athu (5 WR),3170309.4,,41,ASkib,40,,40,Twin,41,,41,Silk,4309467,,36,OnyxD,3,,41,Trap Guard,8349104,,,,,,31,Smiley,2,,41,Nyrox,2221174,,31,Silvius,1,,41,(Basic) Tank,5364476,,,,,,21,lifey,1,,,,
,42,jax,25826860,,39,fortune,8,,42,Rifle,36529050,,42,fortune (8 WR),3160349.75,,41,🌷|retnuH,40,,42,Single,40,,42,Ditine,4204509,,36,Road,3,,42,(Basic) Tank,8095074,,,,,,31,Thunder,2,,42,hailstorm ;),2154833,,31,Para,1,,42,Assassin,5357406,,,,,,,,,,,,
,43,Denied,25760602,,39,Anto,8,,43,Booster,36117704,,43,Mine (60 WR),3140776.7333333334,,43,Crazoodles,39,,43,Barricade,39,,43,From Asia,4198590,,36,Crown the Ö.,3,,43,Cyclone,7993127,,,,,,31,Typexleta,2,,43,Andycito123,2096542,,31,evil isopod,1,,43,Auto Tri-Angle,5318480,,,,,,,,,,,,
